基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
011431,宏利消费服务混合A,混合型-偏股,HLXFFWHHA,HONGLIXIAOFEIFUWUHUNHEA,
011432,宏利消费服务混合C,混合型-偏股,HLXFFWHHC,HONGLIXIAOFEIFUWUHUNHEC,
011435,中欧研究精选混合A,混合型-偏股,ZOYJJXHHA,ZHONGOUYANJIUJINGXUANHUNHEA,
011436,中欧研究精选混合C,混合型-偏股,ZOYJJXHHC,ZHONGOUYANJIUJINGXUANHUNHEC,
011437,中泰开阳价值优选混合C,混合型-灵活,ZTKYJZYXHHC,ZHONGTAIKAIYANGJIAZHIYOUXUANHUNHEC,
011442,创金合信鑫瑞混合A,混合型-偏债,CJHXXRHHA,CHUANGJINHEXINXINRUIHUNHEA,
011443,创金合信鑫瑞混合C,混合型-偏债,CJHXXRHHC,CHUANGJINHEXINXINRUIHUNHEC,
011446,长江新能源产业混合发起A,混合型-偏股,CJXNYCYHHFQA,CHANGJIANGXINNENGYUANCHANYEHUNHEFAQIA,
011447,长江新能源产业混合发起C,混合型-偏股,CJXNYCYHHFQC,CHANGJIANGXINNENGYUANCHANYEHUNHEFAQIC,
011450,招商企业优选混合A,混合型-偏股,ZSQYYXHHA,ZHAOSHANGQIYEYOUXUANHUNHEA,
011451,招商企业优选混合C,混合型-偏股,ZSQYYXHHC,ZHAOSHANGQIYEYOUXUANHUNHEC,
011452,华泰柏瑞质量成长C,混合型-偏股,HTBRZLCZC,HUATAIBAIRUIZHILIANGCHENGZHANGC,
011453,华泰柏瑞医疗健康C,混合型-偏股,HTBRYLJKC,HUATAIBAIRUIYILIAOJIANKANGC,
011454,华泰柏瑞景气优选C,混合型-偏股,HTBRJQYXC,HUATAIBAIRUIJINGQIYOUXUANC,
011455,长城竞争优势六个月混合A,混合型-偏股,CCJZYSLGYHHA,CHANGCHENGJINGZHENGYOUSHILIUGEYUEHUNHEA,
011456,长城竞争优势六个月混合C,混合型-偏股,CCJZYSLGYHHC,CHANGCHENGJINGZHENGYOUSHILIUGEYUEHUNHEC,
011457,新华行业龙头主题股票,股票型,XHHYLTZTGP,XINHUAHANGYELONGTOUZHUTIGUPIAO,
011458,东方鑫享价值成长一年持有混合A,混合型-偏股,DFXXJZCZYNCYHHA,DONGFANGXINXIANGJIAZHICHENGZHANGYINIANCHIYOUHUNHEA,
011459,东方鑫享价值成长一年持有混合C,混合型-偏股,DFXXJZCZYNCYHHC,DONGFANGXINXIANGJIAZHICHENGZHANGYINIANCHIYOUHUNHEC,
011460,鹏华创新成长混合A,混合型-偏股,PHCXCZHHA,PENGHUACHUANGXINCHENGZHANGHUNHEA,
011461,鹏华创新成长混合C,混合型-偏股,PHCXCZHHC,PENGHUACHUANGXINCHENGZHANGHUNHEC,
011462,东吴兴享成长混合C,混合型-偏股,DWXXCZHHC,DONGWUXINGXIANGCHENGZHANGHUNHEC,
011463,长城量化精选股票C,股票型,CCLHJXGPC,CHANGCHENGLIANGHUAJINGXUANGUPIAOC,
011464,南华瑞利债券A,债券型-混合一级,NHRLZQA,NANHUARUILIZHAIQUANA,
011465,南华瑞利债券C,债券型-混合一级,NHRLZQC,NANHUARUILIZHAIQUANC,
011466,兴业医疗保健混合A,混合型-偏股,XYYLBJHHA,XINGYEYILIAOBAOJIANHUNHEA,
011467,兴业医疗保健混合C,混合型-偏股,XYYLBJHHC,XINGYEYILIAOBAOJIANHUNHEC,
011468,国富竞争优势三年持有期混合A,混合型-偏股,GFJZYSSNCYQHHA,GUOFUJINGZHENGYOUSHISANNIANCHIYOUQIHUNHEA,
011469,国富竞争优势三年持有期混合C,混合型-偏股,GFJZYSSNCYQHHC,GUOFUJINGZHENGYOUSHISANNIANCHIYOUQIHUNHEC,
011470,东吴新产业精选股票C,股票型,DWXCYJXGPC,DONGWUXINCHANYEJINGXUANGUPIAOC,
011471,鹏华致远成长混合A,混合型-偏股,PHZYCZHHA,PENGHUAZHIYUANCHENGZHANGHUNHEA,
011472,鹏华致远成长混合C,混合型-偏股,PHZYCZHHC,PENGHUAZHIYUANCHENGZHANGHUNHEC,
011473,工银战略转型股票C,股票型,GYZLZXGPC,GONGYINZHANLUEZHUANXINGGUPIAOC,
011474,工银信息产业混合C,混合型-偏股,GYXXCYHHC,GONGYINXINXICHANYEHUNHEC,
011475,工银消费服务混合C,混合型-偏股,GYXFFWHHC,GONGYINXIAOFEIFUWUHUNHEC,
011476,工银新蓝筹股票C,股票型,GYXLCGPC,GONGYINXINLANCHOUGUPIAOC,
011477,工银总回报灵活配置混合C,混合型-灵活,GYZHBLHPZHHC,GONGYINZONGHUIBAOLINGHUOPEIZHIHUNHEC,
011478,工银美丽城镇股票C,股票型,GYMLCZGPC,GONGYINMEILICHENGZHENGUPIAOC,
011479,广发诚享混合A,混合型-偏股,GFCXHHA,GUANGFACHENGXIANGHUNHEA,
011480,广发诚享混合C,混合型-偏股,GFCXHHC,GUANGFACHENGXIANGHUNHEC,
011481,广发瑞锦一年定期开放混合,混合型-偏股,GFRJYNDQKFHH,GUANGFARUIJINYINIANDINGQIKAIFANGHUNHE,
011486,博时创新精选混合A,混合型-偏股,BSCXJXHHA,BOSHICHUANGXINJINGXUANHUNHEA,
011487,博时创新精选混合C,混合型-偏股,BSCXJXHHC,BOSHICHUANGXINJINGXUANHUNHEC,
011488,申万菱信乐享混合A,混合型-偏股,SWLXLXHHA,SHENWANLINGXINLEXIANGHUNHEA,
011489,创金合信双季享6个月持有A,债券型-长债,CJHXSJX6GYCYA,CHUANGJINHEXINSHUANGJIXIANG6GEYUECHIYOUA,
011490,创金合信双季享6个月持有C,债券型-长债,CJHXSJX6GYCYC,CHUANGJINHEXINSHUANGJIXIANG6GEYUECHIYOUC,
011491,南方薪金宝货币B,货币型-普通货币,NFXJBHBB,NANFANGXINJINBAOHUOBIB,
011492,华泰紫金丰睿债券发起A,债券型-混合二级,HTZJFRZQFQA,HUATAIZIJINFENGRUIZHAIQUANFAQIA,
011493,华泰紫金丰睿债券发起C,债券型-混合二级,HTZJFRZQFQC,HUATAIZIJINFENGRUIZHAIQUANFAQIC,
011494,华泰紫金丰和偏债混合发起A,混合型-偏债,HTZJFHPZHHFQA,HUATAIZIJINFENGHEPIANZHAIHUNHEFAQIA,
011495,华泰紫金丰和偏债混合发起C,混合型-偏债,HTZJFHPZHHFQC,HUATAIZIJINFENGHEPIANZHAIHUNHEFAQIC,
011496,华泰紫金月月发1个月滚动债券发起A,债券型-混合一级,HTZJYYF1GYGDZQFQA,HUATAIZIJINYUEYUEFA1GEYUEGUNDONGZHAIQUANFAQIA,
011497,华泰紫金月月发1个月滚动债券发起C,债券型-混合一级,HTZJYYF1GYGDZQFQC,HUATAIZIJINYUEYUEFA1GEYUEGUNDONGZHAIQUANFAQIC,
011498,富国沪深300基本面精选股票A,股票型,FGHS300JBMJXGPA,FUGUOHUSHEN300JIBENMIANJINGXUANGUPIAOA,
011499,富国沪深300基本面精选股票C,股票型,FGHS300JBMJXGPC,FUGUOHUSHEN300JIBENMIANJINGXUANGUPIAOC,
011500,九泰量化新兴产业,混合型-偏股,JTLHXXCY,JIUTAILIANGHUAXINXINGCHANYE,
011501,方正富邦汇福一年定开混合A,混合型-灵活,FZFBHFYNDKHHA,FANGZHENGFUBANGHUIFUYINIANDINGKAIHUNHEA,
011502,方正富邦汇福一年定开混合C,混合型-灵活,FZFBHFYNDKHHC,FANGZHENGFUBANGHUIFUYINIANDINGKAIHUNHEC,
011503,建信智能生活混合,混合型-偏股,JXZNSHHH,JIANXINZHINENGSHENGHUOHUNHE,
011504,上银丰益混合A,混合型-偏债,SYFYHHA,SHANGYINFENGYIHUNHEA,
011505,上银丰益混合C,混合型-偏债,SYFYHHC,SHANGYINFENGYIHUNHEC,
011506,建信高端装备股票A,股票型,JXGDZBGPA,JIANXINGAODUANZHUANGBEIGUPIAOA,
011507,建信高端装备股票C,股票型,JXGDZBGPC,JIANXINGAODUANZHUANGBEIGUPIAOC,
011508,易方达悦弘一年持有期混合A,混合型-偏债,YFDYHYNCYQHHA,YIFANGDAYUEHONGYINIANCHIYOUQIHUNHEA,
011509,易方达悦弘一年持有期混合C,混合型-偏债,YFDYHYNCYQHHC,YIFANGDAYUEHONGYINIANCHIYOUQIHUNHEC,
011510,国寿安保稳鑫一年持有混合A,混合型-偏债,GSABWXYNCYHHA,GUOSHOUANBAOWENXINYINIANCHIYOUHUNHEA,
011511,国寿安保稳鑫一年持有混合C,混合型-偏债,GSABWXYNCYHHC,GUOSHOUANBAOWENXINYINIANCHIYOUHUNHEC,
011512,天弘中证新能源车A,指数型-股票,THZZXNYCA,TIANHONGZHONGZHENGXINNENGYUANCHEA,
011513,天弘中证新能源车C,指数型-股票,THZZXNYCC,TIANHONGZHONGZHENGXINNENGYUANCHEC,
011514,中海海誉混合A,混合型-偏债,ZHHYHHA,ZHONGHAIHAIYUHUNHEA,
011515,中海海誉混合C,混合型-偏债,ZHHYHHC,ZHONGHAIHAIYUHUNHEC,
011516,嘉实浦盈一年持有期混合A,混合型-偏债,JSPYYNCYQHHA,JIASHIPUYINGYINIANCHIYOUQIHUNHEA,
011517,嘉实浦盈一年持有期混合C,混合型-偏债,JSPYYNCYQHHC,JIASHIPUYINGYINIANCHIYOUQIHUNHEC,
011518,嘉实价值臻选混合A,混合型-偏股,JSJZZXHHA,JIASHIJIAZHIZHENXUANHUNHEA,
011521,鹏扬景源一年持有混合A,混合型-偏债,PYJYYNCYHHA,PENGYANGJINGYUANYINIANCHIYOUHUNHEA,
011522,鹏扬景源一年持有混合C,混合型-偏债,PYJYYNCYHHC,PENGYANGJINGYUANYINIANCHIYOUHUNHEC,
011523,前海联合产业趋势混合A,混合型-偏股,QHLHCYQSHHA,QIANHAILIANHECHANYEQUSHIHUNHEA,
011524,前海联合产业趋势混合C,混合型-偏股,QHLHCYQSHHC,QIANHAILIANHECHANYEQUSHIHUNHEC,
011525,中信保诚丰裕一年持有期混合A,混合型-偏债,ZXBCFYYNCYQHHA,ZHONGXINBAOCHENGFENGYUYINIANCHIYOUQIHUNHEA,
011526,中信保诚丰裕一年持有期混合C,混合型-偏债,ZXBCFYYNCYQHHC,ZHONGXINBAOCHENGFENGYUYINIANCHIYOUQIHUNHEC,
011527,博时恒悦6个月持有混合A,混合型-偏债,BSHY6GYCYHHA,BOSHIHENGYUE6GEYUECHIYOUHUNHEA,
011528,博时恒悦6个月持有混合C,混合型-偏债,BSHY6GYCYHHC,BOSHIHENGYUE6GEYUECHIYOUHUNHEC,
011529,上银慧兴盈债券,债券型-长债,SYHXYZQ,SHANGYINHUIXINGYINGZHAIQUAN,
011530,泓德优质治理灵活配置混合,混合型-灵活,HDYZZLLHPZHH,HONGDEYOUZHIZHILILINGHUOPEIZHIHUNHE,
011531,朱雀恒心一年持有混合,混合型-偏股,ZQHXYNCYHH,ZHUQUEHENGXINYINIANCHIYOUHUNHE,
011532,工银聚丰混合A,混合型-偏债,GYJFHHA,GONGYINJUFENGHUNHEA,
011533,工银聚丰混合C,混合型-偏债,GYJFHHC,GONGYINJUFENGHUNHEC,
011534,万家民瑞祥明6个月持有混合A,混合型-偏债,WJMRXM6GYCYHHA,WANJIAMINRUIXIANGMING6GEYUECHIYOUHUNHEA,
011535,万家民瑞祥明6个月持有混合C,混合型-偏债,WJMRXM6GYCYHHC,WANJIAMINRUIXIANGMING6GEYUECHIYOUHUNHEC,
011536,惠升惠益混合A,混合型-偏债,HSHYHHA,HUISHENGHUIYIHUNHEA,
011537,惠升惠益混合C,混合型-偏债,HSHYHHC,HUISHENGHUIYIHUNHEC,
011538,长城优选添瑞六个月持有混合A,混合型-偏债,CCYXTRLGYCYHHA,CHANGCHENGYOUXUANTIANRUILIUGEYUECHIYOUHUNHEA,
011539,长城优选添瑞六个月持有混合C,混合型-偏债,CCYXTRLGYCYHHC,CHANGCHENGYOUXUANTIANRUILIUGEYUECHIYOUHUNHEC,
011542,鹏华远见回报三年持有混合,混合型-偏股,PHYJHBSNCYHH,PENGHUAYUANJIANHUIBAOSANNIANCHIYOUHUNHE,
011545,长江沪深300指数增强发起式A,指数型-股票,CJHS300ZSZQFQSA,CHANGJIANGHUSHEN300ZHISHUZENGQIANGFAQISHIA,
011546,长江沪深300指数增强发起式C,指数型-股票,CJHS300ZSZQFQSC,CHANGJIANGHUSHEN300ZHISHUZENGQIANGFAQISHIC,
011547,华夏惠利货币C,货币型-普通货币,HXHLHBC,HUAXIAHUILIHUOBIC,
011548,九泰久慧混合A,混合型-偏债,JTJHHHA,JIUTAIJIUHUIHUNHEA,
011549,九泰久慧混合C,混合型-偏债,JTJHHHC,JIUTAIJIUHUIHUNHEC,
011550,湘财创新成长一年持有期混合A,混合型-偏股,XCCXCZYNCYQHHA,XIANGCAICHUANGXINCHENGZHANGYINIANCHIYOUQIHUNHEA,
011551,湘财创新成长一年持有期混合C,混合型-偏股,XCCXCZYNCYQHHC,XIANGCAICHUANGXINCHENGZHANGYINIANCHIYOUQIHUNHEC,
011552,鹏华民丰盈和6个月持有混合A,混合型-偏债,PHMFYH6GYCYHHA,PENGHUAMINFENGYINGHE6GEYUECHIYOUHUNHEA,
011553,鹏华民丰盈和6个月持有混合C,混合型-偏债,PHMFYH6GYCYHHC,PENGHUAMINFENGYINGHE6GEYUECHIYOUHUNHEC,
011554,海富通欣利混合A,混合型-偏债,HFTXLHHA,HAIFUTONGXINLIHUNHEA,
011555,海富通欣利混合C,混合型-偏债,HFTXLHHC,HAIFUTONGXINLIHUNHEC,
011556,富国民裕进取沪港深成长C,混合型-偏股,FGMYJQHGSCZC,FUGUOMINYUJINQUHUGANGSHENCHENGZHANGC,
011557,平安稳健养老一年持有混合(FOF)A,FOF-稳健型,PAWJYLYNCYHHFOFA,PINGANWENJIANYANGLAOYINIANCHIYOUHUNHEFOFA,
011558,天弘宁弘六个月A,混合型-偏债,THNHLGYA,TIANHONGNINGHONGLIUGEYUEA,
011559,天弘宁弘六个月C,混合型-偏债,THNHLGYC,TIANHONGNINGHONGLIUGEYUEC,
011562,汇添富稳健盈和一年持有混合,混合型-偏债,HTFWJYHYNCYHH,HUITIANFUWENJIANYINGHEYINIANCHIYOUHUNHE,
011563,淳厚利加混合A,混合型-偏债,CHLJHHA,CHUNHOULIJIAHUNHEA,
011564,淳厚利加混合C,混合型-偏债,CHLJHHC,CHUNHOULIJIAHUNHEC,
011565,富国周期优势混合C,混合型-偏股,FGZQYSHHC,FUGUOZHOUQIYOUSHIHUNHEC,
011566,富国美丽中国混合C,混合型-偏股,FGMLZGHHC,FUGUOMEILIZHONGGUOHUNHEC,
011567,富国消费升级混合C,混合型-偏股,FGXFSJHHC,FUGUOXIAOFEISHENGJIHUNHEC,
011568,鹏华产业升级混合A,混合型-偏股,PHCYSJHHA,PENGHUACHANYESHENGJIHUNHEA,
011569,鹏华产业升级混合C,混合型-偏股,PHCYSJHHC,PENGHUACHANYESHENGJIHUNHEC,
011570,鹏华鑫远价值一年持有期混合A,混合型-偏股,PHXYJZYNCYQHHA,PENGHUAXINYUANJIAZHIYINIANCHIYOUQIHUNHEA,
011571,鹏华鑫远价值一年持有期混合C,混合型-偏股,PHXYJZYNCYQHHC,PENGHUAXINYUANJIAZHIYINIANCHIYOUQIHUNHEC,
011572,鹏华安荣混合A,混合型-偏债,PHARHHA,PENGHUAANRONGHUNHEA,
011573,鹏华安荣混合C,混合型-偏债,PHARHHC,PENGHUAANRONGHUNHEC,
011574,鹏华领航一年持有混合A,混合型-偏股,PHLHYNCYHHA,PENGHUALINGHANGYINIANCHIYOUHUNHEA,
011575,鹏华领航一年持有混合C,混合型-偏股,PHLHYNCYHHC,PENGHUALINGHANGYINIANCHIYOUHUNHEC,
011576,鹏华安诚混合A,混合型-偏债,PHACHHA,PENGHUAANCHENGHUNHEA,
011577,鹏华安诚混合C,混合型-偏债,PHACHHC,PENGHUAANCHENGHUNHEC,
011578,汇丰晋信核心成长A,混合型-偏股,HFJXHXCZA,HUIFENGJINXINHEXINCHENGZHANGA,
011579,汇丰晋信核心成长C,混合型-偏股,HFJXHXCZC,HUIFENGJINXINHEXINCHENGZHANGC,
011580,民生加银稳健配置6个月混合(FOF),FOF-稳健型,MSJYWJPZ6GYHHFOF,MINSHENGJIAYINWENJIANPEIZHI6GEYUEHUNHEFOF,
011583,大成港股精选混合(QDII)A,QDII-混合偏股,DCGGJXHHQDIIA,DACHENGGANGGUJINGXUANHUNHEQDIIA,Y
011584,大成港股精选混合(QDII)C,QDII-混合偏股,DCGGJXHHQDIIC,DACHENGGANGGUJINGXUANHUNHEQDIIC,Y
011585,博时产业慧选混合A,混合型-偏股,BSCYHXHHA,BOSHICHANYEHUIXUANHUNHEA,
011586,博时产业慧选混合C,混合型-偏股,BSCYHXHHC,BOSHICHANYEHUIXUANHUNHEC,
011587,东方红欣和平衡两年混合(FOF),FOF-均衡型,DFHXHPHLNHHFOF,DONGFANGHONGXINHEPINGHENGLIANGNIANHUNHEFOF,
011588,前海开源成份精选混合,混合型-偏股,QHKYCFJXHH,QIANHAIKAIYUANCHENGFENJINGXUANHUNHE,
011589,九泰天利量化A,股票型,JTTLLHA,JIUTAITIANLILIANGHUAA,
011590,九泰天利量化C,股票型,JTTLLHC,JIUTAITIANLILIANGHUAC,
011591,民生加银稳健配置9个月持有混合(FOF),FOF-稳健型,MSJYWJPZ9GYCYHHFOF,MINSHENGJIAYINWENJIANPEIZHI9GEYUECHIYOUHUNHEFOF,
011592,博时军工主题股票C,股票型,BSJGZTGPC,BOSHIJUNGONGZHUTIGUPIAOC,
011593,农银汇理安瑞一年持有混合(FOF),FOF-进取型,NYHLARYNCYHHFOF,NONGYINHUILIANRUIYINIANCHIYOUHUNHEFOF,
011594,国投瑞银稳健养老目标一年持有混合(FOF)C,FOF-稳健型,GTRYWJYLMBYNCYHHFOFC,GUOTOURUIYINWENJIANYANGLAOMUBIAOYINIANCHIYOUHUNHEFOFC,
011597,汇添富多策略纯债E,债券型-长债,HTFDCLCZE,HUITIANFUDUOCELUECHUNZHAIE,
011598,信澳医药健康混合A,混合型-偏股,XAYYJKHHA,XINAOYIYAOJIANKANGHUNHEA,
011599,国联安匠心科技1个月滚动持有混合,混合型-偏股,GLAJXKJ1GYGDCYHH,GUOLIANANJIANGXINKEJI1GEYUEGUNDONGCHIYOUHUNHE,
011600,银华华智三个月持有(FOF),FOF-稳健型,YHHZSGYCYFOF,YINHUAHUAZHISANGEYUECHIYOUFOF,
011601,前海开源公共卫生股票A,股票型,QHKYGGWSGPA,QIANHAIKAIYUANGONGGONGWEISHENGGUPIAOA,
011602,前海开源公共卫生股票C,股票型,QHKYGGWSGPC,QIANHAIKAIYUANGONGGONGWEISHENGGUPIAOC,
011603,兴业高端制造混合A,混合型-偏股,XYGDZZHHA,XINGYEGAODUANZHIZAOHUNHEA,
011604,兴业高端制造混合C,混合型-偏股,XYGDZZHHC,XINGYEGAODUANZHIZAOHUNHEC,
011605,交银招享一年持有混合(FOF)A,FOF-稳健型,JYZXYNCYHHFOFA,JIAOYINZHAOXIANGYINIANCHIYOUHUNHEFOFA,
011606,交银招享一年持有混合(FOF)C,FOF-稳健型,JYZXYNCYHHFOFC,JIAOYINZHAOXIANGYINIANCHIYOUHUNHEFOFC,
011607,民生中证内地资源主题指数C,指数型-股票,MSZZNDZYZTZSC,MINSHENGZHONGZHENGNEIDIZIYUANZHUTIZHISHUC,
011608,易方达上证科创50联接A,指数型-股票,YFDSZKC50LJA,YIFANGDASHANGZHENGKECHUANG50LIANJIEA,
011609,易方达上证科创50联接C,指数型-股票,YFDSZKC50LJC,YIFANGDASHANGZHENGKECHUANG50LIANJIEC,
011610,华泰柏瑞上证科创板50成份ETF联接A,指数型-股票,HTBRSZKCB50CFETFLJA,HUATAIBAIRUISHANGZHENGKECHUANGBAN50CHENGFENETFLIANJIEA,
011611,华泰柏瑞上证科创板50成份ETF联接C,指数型-股票,HTBRSZKCB50CFETFLJC,HUATAIBAIRUISHANGZHENGKECHUANGBAN50CHENGFENETFLIANJIEC,
011612,华夏科创50ETF联接A,指数型-股票,HXKC50ETFLJA,HUAXIAKECHUANG50ETFLIANJIEA,
011613,华夏科创50ETF联接C,指数型-股票,HXKC50ETFLJC,HUAXIAKECHUANG50ETFLIANJIEC,
011614,工银科创50ETF联接A,指数型-股票,GYKC50ETFLJA,GONGYINKECHUANG50ETFLIANJIEA,
011615,工银科创50ETF联接C,指数型-股票,GYKC50ETFLJC,GONGYINKECHUANG50ETFLIANJIEC,
011616,国投瑞银瑞祥C,混合型-灵活,GTRYRXC,GUOTOURUIYINRUIXIANGC,
011617,汇添富AAA级信用纯债E,债券型-长债,HTFAAAJXYCZE,HUITIANFUAAAJIXINYONGCHUNZHAIE,
011618,国投瑞银瑞泰多策略混合C,混合型-灵活,GTRYRTDCLHHC,GUOTOURUIYINRUITAIDUOCELUEHUNHEC,
011619,鹏扬淳兴三个月定期开放债券A,债券型-长债,PYCXSGYDQKFZQA,PENGYANGCHUNXINGSANGEYUEDINGQIKAIFANGZHAIQUANA,
011620,鹏扬淳兴三个月定期开放债券C,债券型-长债,PYCXSGYDQKFZQC,PENGYANGCHUNXINGSANGEYUEDINGQIKAIFANGZHAIQUANC,
011622,汇添富短债债券E,债券型-中短债,HTFDZZQE,HUITIANFUDUANZHAIZHAIQUANE,
011623,汇添富中短债E,债券型-中短债,HTFZDZE,HUITIANFUZHONGDUANZHAIE,
011624,华夏卓享债券A,债券型-混合二级,HXZXZQA,HUAXIAZHUOXIANGZHAIQUANA,
011625,华夏卓享债券C,债券型-混合二级,HXZXZQC,HUAXIAZHUOXIANGZHAIQUANC,
011626,嘉实匠心回报混合A,混合型-偏股,JSJXHBHHA,JIASHIJIANGXINHUIBAOHUNHEA,
011627,嘉实匠心回报混合C,混合型-偏股,JSJXHBHHC,JIASHIJIANGXINHUIBAOHUNHEC,
011628,嘉实致明3个月定期纯债债券,债券型-长债,JSZM3GYDQCZZQ,JIASHIZHIMING3GEYUEDINGQICHUNZHAIZHAIQUAN,
011629,银河核心优势混合A,混合型-偏股,YHHXYSHHA,YINHEHEXINYOUSHIHUNHEA,
011630,东财有色增强A,指数型-股票,DCYSZQA,DONGCAIYOUSEZENGQIANGA,
011631,东财有色增强C,指数型-股票,DCYSZQC,DONGCAIYOUSEZENGQIANGC,
011634,国寿安保安悦纯债一年定开债,债券型-长债,GSABAYCZYNDKZ,GUOSHOUANBAOANYUECHUNZHAIYINIANDINGKAIZHAI,
011635,富国港股通策略精选混合A,混合型-偏股,FGGGTCLJXHHA,FUGUOGANGGUTONGCELUEJINGXUANHUNHEA,
011636,富国港股通策略精选混合C,混合型-偏股,FGGGTCLJXHHC,FUGUOGANGGUTONGCELUEJINGXUANHUNHEC,
011637,广发沪港深价值成长混合A,混合型-偏股,GFHGSJZCZHHA,GUANGFAHUGANGSHENJIAZHICHENGZHANGHUNHEA,
011638,广发沪港深价值成长混合C,混合型-偏股,GFHGSJZCZHHC,GUANGFAHUGANGSHENJIAZHICHENGZHANGHUNHEC,
011641,富国达利纯债一年定开债发起式,债券型-长债,FGDLCZYNDKZFQS,FUGUODALICHUNZHAIYINIANDINGKAIZHAIFAQISHI,
011642,财通资管睿慧1年定开债,债券型-长债,CTZGRH1NDKZ,CAITONGZIGUANRUIHUI1NIANDINGKAIZHAI,
011643,嘉实时代先锋三年持有混合A,混合型-偏股,JSSDXFSNCYHHA,JIASHISHIDAIXIANFENGSANNIANCHIYOUHUNHEA,
011644,嘉实时代先锋三年持有混合C,混合型-偏股,JSSDXFSNCYHHC,JIASHISHIDAIXIANFENGSANNIANCHIYOUHUNHEC,
011645,国泰核心价值两年持有期股票A,股票型,GTHXJZLNCYQGPA,GUOTAIHEXINJIAZHILIANGNIANCHIYOUQIGUPIAOA,
011646,国泰核心价值两年持有期股票C,股票型,GTHXJZLNCYQGPC,GUOTAIHEXINJIAZHILIANGNIANCHIYOUQIGUPIAOC,
011649,易方达逆向投资混合A,混合型-偏股,YFDNXTZHHA,YIFANGDANIXIANGTOUZIHUNHEA,
011650,易方达逆向投资混合C,混合型-偏股,YFDNXTZHHC,YIFANGDANIXIANGTOUZIHUNHEC,
011651,招商港股通核心精选股票A,股票型,ZSGGTHXJXGPA,ZHAOSHANGGANGGUTONGHEXINJINGXUANGUPIAOA,
011652,招商港股通核心精选股票C,股票型,ZSGGTHXJXGPC,ZHAOSHANGGANGGUTONGHEXINJINGXUANGUPIAOC,
011653,国泰鑫享稳健6个月滚动持有债券,债券型-混合二级,GTXXWJ6GYGDCYZQ,GUOTAIXINXIANGWENJIAN6GEYUEGUNDONGCHIYOUZHAIQUAN,
011654,国泰鑫享稳健6个月滚动持有债券C,债券型-混合二级,GTXXWJ6GYGDCYZQC,GUOTAIXINXIANGWENJIAN6GEYUEGUNDONGCHIYOUZHAIQUANC,
011655,天弘兴益一年定开,债券型-混合一级,THXYYNDK,TIANHONGXINGYIYINIANDINGKAI,
011656,天弘京津冀发起债A,债券型-混合二级,THJJJFQZA,TIANHONGJINGJINJIFAQIZHAIA,
011657,天弘京津冀发起债C,债券型-混合二级,THJJJFQZC,TIANHONGJINGJINJIFAQIZHAIC,
011658,汇添富中高等级信用债A,债券型-长债,HTFZGDJXYZA,HUITIANFUZHONGGAODENGJIXINYONGZHAIA,
011659,汇添富中高等级信用债C,债券型-长债,HTFZGDJXYZC,HUITIANFUZHONGGAODENGJIXINYONGZHAIC,
011660,汇添富中高等级信用债E,债券型-长债,HTFZGDJXYZE,HUITIANFUZHONGGAODENGJIXINYONGZHAIE,
011661,华富中债1-3年国开债A,指数型-固收,HFZZ13NGKZA,HUAFUZHONGZHAI13NIANGUOKAIZHAIA,
011662,华富中债1-3年国开债C,指数型-固收,HFZZ13NGKZC,HUAFUZHONGZHAI13NIANGUOKAIZHAIC,
011663,华安研究驱动混合A,混合型-偏股,HAYJQDHHA,HUAANYANJIUQUDONGHUNHEA,
011664,华安研究驱动混合C,混合型-偏股,HAYJQDHHC,HUAANYANJIUQUDONGHUNHEC,
011665,汇添富数字经济引领发展三年持有混合A,混合型-偏股,HTFSZJJYLFZSNCYHHA,HUITIANFUSHUZIJINGJIYINLINGFAZHANSANNIANCHIYOUHUNHEA,
011666,汇添富数字经济引领发展三年持有混合C,混合型-偏股,HTFSZJJYLFZSNCYHHC,HUITIANFUSHUZIJINGJIYINLINGFAZHANSANNIANCHIYOUHUNHEC,
011667,东财高端制造增强A,指数型-股票,DCGDZZZQA,DONGCAIGAODUANZHIZAOZENGQIANGA,
011668,东财高端制造增强C,指数型-股票,DCGDZZZQC,DONGCAIGAODUANZHIZAOZENGQIANGC,
011669,长信优质企业混合A,混合型-偏股,CXYZQYHHA,CHANGXINYOUZHIQIYEHUNHEA,
011670,长信优质企业混合C,混合型-偏股,CXYZQYHHC,CHANGXINYOUZHIQIYEHUNHEC,
011671,中信建投双利3个月债A,债券型-混合二级,ZXJTSL3GYZA,ZHONGXINJIANTOUSHUANGLI3GEYUEZHAIA,
011672,中信建投双利3个月债C,债券型-混合二级,ZXJTSL3GYZC,ZHONGXINJIANTOUSHUANGLI3GEYUEZHAIC,
011673,长城医药科技六个月持有混合A,混合型-偏股,CCYYKJLGYCYHHA,CHANGCHENGYIYAOKEJILIUGEYUECHIYOUHUNHEA,
011674,长城医药科技六个月持有混合C,混合型-偏股,CCYYKJLGYCYHHC,CHANGCHENGYIYAOKEJILIUGEYUECHIYOUHUNHEC,
011681,汇添富均衡精选六个月持有混合A,混合型-偏股,HTFJHJXLGYCYHHA,HUITIANFUJUNHENGJINGXUANLIUGEYUECHIYOUHUNHEA,
